Speed,Stage,Event,Finish,Distance,Winner, 
"35,538",Tour de France 1970 - Stage17 ,Stage in line,Saint-Gaudens,190,Luis Ocaña,
"35,538",Tour de France 1955 - Stage10 ,Stage in line,Marseille,240.0,Lucien Lazarides,
"35,525",Tour de France 1996 - Stage 3 ,Stage in line,Nogent-sur-Oise,195,Erik Zabel,
"35,519",Tour de France 2003 - Stage 15 RR,Stage in line,Luz-Ardiden,159.5,Lance Armstrong,
"35,518",Tour de France 1973 - Stage6 ,Stage in line,Divonne-les-Bains,244.5,Jean-Pierre Danguillaume,
"35,507",Tour de France 1934 - Stage21b ITT,Individual time trial,Nantes,90,Antonin Magne,
"35,491",Tour de France 1939 - Stage3 ,Stage in line,Brest,244.0,Pierre Cloarec,
"35,490",Tour de France 1970 - Stage22 ,Stage in line,Versailles,238.5,Jean-Pierre Danguillaume,
"35,485",Tour de France 1990 - Stage 18 RR,Stage in line,Bordeaux,202.0,Gianni Bugno,
"35,476",Tour de France 2000 - Stage 16 RR,Stage in line,Morzine,196.5,Richard Virenque,
"35,469",Tour de France 1977 - Stage21 ,Stage in line,Versailles,141.5,Gerrie Knetemann,
"35,442",Tour de France 1953 - Stage5 ,Stage in line,Caen,200.0,Jean Malléjac,
"35,441",Tour de France 1966 - Stage10 ,Stage in line,Pau,234.5,Tommaso De Pra,
"35,426",Tour de France 1983 - Stage8 ,Stage in line,Bordeaux,222.0,Bert Oosterbosch,
"35,418",Tour de France 1965 - Stage4 ,Stage in line,Saint-Brieuc,227.0,Edgard Sorgeloos,
"35,415",Tour de France 1980 - Stage3 ,Stage in line,Liège,282.5,Henk Lubberding,
"35,384",Tour de France 1954 - Stage16 ,Stage in line,Lyon,194.0,Jean Forestier,
"35,363",Tour de France 1970 - Stage21 ,Stage in line,Tours,191.5,Marino Basso,
"35,359",Tour de France 1994 - Stage 15 ,Stage in line,Carpentras,231.0,Eros Poli,
"35,355",Tour de France 1983 - Stage22 ,Stage in line,Paris,195,Gilbert Glaus,
"35,354",Tour de France 1968 - Stage21 ,Stage in line,Auxerre,242.0,Eric Leman,
"35,346",Tour de France 1990 - Stage 12 ITT,Individual time trial,Côte 2000,33.500,Erik Breukink,
"35,345",Tour de France 1981 - Stage3 ,Stage in line,Narbonne-Plage,232.0,Freddy Maertens,
"35,335",Tour de France 1957 - Stage16 ,Stage in line,Ax-les-Thermes,220.0,Jean Bourles,
"35,326",Tour de France 1947 - Stage21 ,Stage in line,Paris,257.0,Briek Schotte,
"35,293",Tour de France 1959 - Stage13 ,Stage in line,Aurillac,219.0,Henry Anglade,
"35,287",Tour de France 1947 - Stage11 ,Stage in line,Marseille,230.0,Edouard Fachleitner,
"35,280",Tour de France 2012 - Stage 16 RR,Stage in line,Bagnères-de-Luchon,197,Thomas Voeckler,
"35,271",Tour de France 1996 - Stage 8 ITT,Individual time trial,"Val-d'Isère",30.5,Evgueni Berzin,
"35,265",Tour de France 1959 - Stage5 ,Stage in line,Rennes,286.0,Jean Graczyk,
"35,252",Tour de France 1949 - Stage 6 RR,Stage in line,"Les Sables-d'Olonne",305.0,Adolphe Deledda,
"35,231",Tour de France 1963 - Stage4 ,Stage in line,Rouen,235.5,Frans Melckenbeeck,
"35,215",Tour de France 1953 - Stage4 ,Stage in line,Dieppe,188.0,Gerrit Voorting,
"35,206",Tour de France 1968 - Stage16 ,Stage in line,Aurillac,199.0,Franco Bitossi,
"35,204",Tour de France 1951 - Stage16 ,Stage in line,Montpellier,192.0,Hugo Koblet,
"35,204",Tour de France 1966 - Stage15 ,Stage in line,"Le Bourg-d'Oisans",203.5,Luis Otano,
"35,183",Tour de France 1991 - Stage16 ,Stage in line,Gap,215.0,Marco Lietti,
"35,177",Tour de France 1986 - Stage19 ,Stage in line,Saint-Etienne,179.5,Julian Gorospe,
"35,160",Tour de France 2007 - Stage 15 RR,Stage in line,Loudenvielle,196.0,Kim Kirchen,
"35,142",Tour de France 1971 - Stage6b ,Stage in line,Le Touquet-Paris-Plage,133.5,Mauro Simonetti,
"35,141",Tour de France 2002 - Stage 17 RR,Stage in line,Cluses,142,Dario Frigo,
"35,140",Tour de France 1976 - Stage2 ,Stage in line,Caen,236.5,Giovanni Battaglin,
"35,139",Tour de France 1949 - Stage 8 RR,Stage in line,Bordeaux,262,Guy Lapébie,
"35,124",Tour de France 1967 - Stage18 ,Stage in line,Bordeaux,206.5,Marino Basso,
"35,122",Tour de France 1966 - Stage7 ,Stage in line,Royan,252.5,Albert Van Vlierberghe,
"35,098",Tour de France 1957 - Stage7 ,Stage in line,Colmar,223.0,Roger Hassenforder,
"35,094",Tour de France 1989 - Stage7 ,Stage in line,Bordeaux,258.5,Etienne De Wilde,
"35,088",Tour de France 1959 - Stage3 ,Stage in line,Roubaix,217.0,Robert Cazala,
"35,086",Tour de France 1951 - Stage2 ,Stage in line,Ghent,228.0,Bim Diederich,
"35,078",Tour de France 1972 - Stage20b ,Stage in line,Paris,89.0,Willy Teirlinck,
"35,055",Tour de France 1985 - Stage18b ,Stage in line,Pau,83.5,Régis Simon,
"35,046",Tour de France 1959 - Stage17 ,Stage in line,Grenoble,197,Charly Gaul,
"35,045",Tour de France 2011 - Stage 12 RR,Stage in line,Luz-Ardiden,211,Samuel Sánchez,
"35,034",Tour de France 2000 - Stage 12 RR,Stage in line,Mont-Ventoux,149,Marco Pantani,
"35,016",Tour de France 1997 - Stage 15 RR,Stage in line,Morzine,208.5,Marco Pantani,
"35,004",Tour de France 1949 - Stage 9 RR,Stage in line,San Sebastián,228.0,Louis Caput,
"34,990",Tour de France 1983 - Stage13 ,Stage in line,Aurillac,210.0,Henk Lubberding,
"34,985",Tour de France 1969 - Stage18 ,Stage in line,Bordeaux,201.0,Barry Hoban,
"34,977",Tour de France 1951 - Stage18 ,Stage in line,Marseille,173.0,Fiorenzo Magni,
"34,973",Tour de France 1968 - Stage20 ,Stage in line,Besançon,242.5,Jos Huysmans,
"34,960",Tour de France 1956 - Stage22 ,Stage in line,Paris,331,Gastone Nencini,
"34,957",Tour de France 1986 - Stage4 ,Stage in line,Évreux,243.0,Peio Ruiz Cabestany,
"34,954",Tour de France 1984 - Stage9 ,Stage in line,Bordeaux,338,Jan Raas,
"34,935",Tour de France 1948 - Stage 20 RR,Stage in line,Roubaix,228.0,Bernard Gauthier,
"34,914",Tour de France 1996 - Stage 5 ,Stage in line,Besançon,242.0,Jeroen Blijlevens,
"34,912",Tour de France 1956 - Stage17 ,Stage in line,Turin,234,Nino Defilippis,
"34,908",Tour de France 1954 - Stage23 ,Stage in line,Paris,180,Robert Varnajo,
"34,902",Tour de France 1963 - Stage14 ,Stage in line,Saint-Etienne,236.5,Guy Ignolin,
"34,900",Tour de France 1969 - Stage19 ,Stage in line,Brive-la-Gaillarde,192.5,Barry Hoban,
"34,894",Tour de France 1954 - Stage11 ,Stage in line,Pau,241.0,Stan Ockers,
"34,891",Tour de France 1963 - Stage15 ,Stage in line,Grenoble,174.0,Federico Bahamontes,
"34,875",Tour de France 1955 - Stage13 ,Stage in line,Albi,205.0,Daan de Groot,
"34,857",Tour de France 1979 - Stage20 ,Stage in line,Dijon,239.6,Serge Parsani,
"34,851",Tour de France 1979 - Stage23 ,Stage in line,Nogent-sur-Marne,205.0,Bernard Hinault,
"34,848",Tour de France 1971 - Stage10 ,Stage in line,Grenoble,188.5,Bernard Thevenet,
"34,845",Tour de France 1980 - Stage19 ,Stage in line,Saint-Etienne,139.7,Sean Kelly,
"34,835",Tour de France 1978 - Stage 5 RR,Stage in line,Maze-Montgeoffroy,244.0,Freddy Maertens,
"34,832",Tour de France 1970 - Stage9 ,Stage in line,Mulhouse,269.5,Mogens Frey,
"34,827",Tour de France 1952 - Stage 20 RR,Stage in line,Limoges,228.0,Jacques Vivier,
"34,812",Tour de France 1951 - Stage5 ,Stage in line,Caen,215.0,Serafino Biagioni,
"34,799",Tour de France 1974 - Stage10 ,Stage in line,Aix-les-Bains,131.5,Eddy Merckx,
"34,797",Tour de France 1961 - Stage12 ,Stage in line,Aix-en-Provence,199.0,Michel Van Aerde,
"34,797",Tour de France 1955 - Stage12 ,Stage in line,Millau,240.0,Alessandro Fantini,
"34,788",Tour de France 1971 - Stage8 ,Stage in line,le Puy-de-Dôme,221.0,Luis Ocaña,
"34,783",Tour de France 1929 - Stage1 ,Stage in line,Caen,206.0,Aimé Dossche,
"34,779",Tour de France 1949 - Stage 1 RR,Stage in line,Reims,182.0,Marcel Dussault,
"34,765",Tour de France 1990 - Stage 10 RR,Stage in line,Le Bettex,118.5,Thierry Claveyrolat,
"34,750",Tour de France 1979 - Stage15 ITT,Individual time trial,Avoriaz,54.2,Bernard Hinault,
"34,731",Tour de France 1973 - Stage4 ,Stage in line,Nancy,214.0,Joop Zoetemelk,
"34,721",Tour de France 1950 - Stage21 ,Stage in line,Dijon,233.0,Gino Sciardis,
"34,703",Tour de France 2008 - Stage 16 RR,Stage in line,Jausiers,157,Cyril Dessel,
"34,697",Tour de France 1978 - Stage 21 RR,Stage in line,Senlis,207.5,Jan Raas,
"34,693",Tour de France 1953 - Stage8 ,Stage in line,Bordeaux,345,Jan Nolten,
"34,691",Tour de France 1985 - Stage5 ,Stage in line,Tourcoing,224.0,Henri Manders,
"34,689",Tour de France 1965 - Stage11 ,Stage in line,Barcelona,240.5,José Pérez Frances,
"34,683",Tour de France 1955 - Stage11 ,Stage in line,Avignon,198,Louison Bobet,
"34,667",Tour de France 1935 - Stage2 ,Stage in line,Charleville-Mézières,192.0,Charles Pélissier,
"34,662",Tour de France 1936 - Stage2 ,Stage in line,Charleville-Mézières,192.0,Robert Wierinckx,
"34,660",Tour de France 1951 - Stage13 ,Stage in line,Tarbes,201.0,Serafino Biagioni,
"34,660",Tour de France 1949 - Stage 5 RR,Stage in line,Saint-Servant,293.0,Ferdi Kübler,
"34,656",Tour de France 1938 - Stage10c ,Stage in line,Montpellier,73,Antonin Magne,
"34,652",Tour de France 1910 - Stage8 ,Stage in line,Perpignan,216.0,Georges Paulmier,
"34,649",Tour de France 1948 - Stage 1 RR,Stage in line,Trouville,237.0,Gino Bartali,
"34,645",Tour de France 1990 - Stage 19 RR,Stage in line,Limoges,182.5,Guido Bontempi,
"34,636",Tour de France 1962 - Stage12 ,Stage in line,Saint-Gaudens,207.5,Robert Cazala,
"34,622",Tour de France 2003 - Stage 14 RR,Stage in line,Loudenvielle,191.5,Gilberto Simoni,
"34,615",Tour de France 1964 - Stage22a ,Stage in line,Versailles,118.5,Benoni Beheyt,
"34,606",Tour de France 1971 - Stage14 ,Stage in line,Bagnères-de-Luchon,214.5,José Manuel Fuente,
"34,606",Tour de France 1949 - Stage 3 RR,Stage in line,Boulogne-sur-Mer,211,Norbert Callens,
"34,604",Tour de France 2009 - Stage 17 RR,Stage in line,Le Grand-Bornand,169.5,Fränk Schleck,
"34,593",Tour de France 1977 - Stage16 ,Stage in line,Chamonix,121,Didi Thurau,
"34,591",Tour de France 1954 - Stage3 ,Stage in line,Rouen,219.0,Marcel Dussault,
"34,590",Tour de France 1964 - Stage13 ,Stage in line,Andorra la Vella,170,Julio Jiménez,
"34,585",Tour de France 1987 - Stage13 ,Stage in line,Pau,219.0,Erik Breukink,
"34,576",Tour de France 1955 - Stage2 ,Stage in line,Roubaix,204.0,Antonin Rolland,
"34,572",Tour de France 1971 - Stage19 ,Stage in line,Versailles,185,Jan Krekels,
"34,565",Tour de France 1964 - Stage4 ,Stage in line,Metz,291.5,Rudi Altig,
"34,562",Tour de France 1980 - Stage10 ,Stage in line,Bordeaux,163,Cees Priem,
"34,541",Tour de France 2010 - Stage 10 RR,Stage in line,Gap,179,Sérgio Paulinho,
"34,540",Tour de France 1948 - Stage 2 RR,Stage in line,Dinard,259.0,Vincenzo Rossello,
"34,539",Tour de France 1963 - Stage11 ,Stage in line,Bagnères-de-Luchon,131,Guy Ignolin,
"34,534",Tour de France 1928 - Stage19 ,Stage in line,Charleville-Mézières,159,Marcel Huot,
"34,505",Tour de France 1933 - Stage2 ,Stage in line,Charleville-Mézières,192.0,Learco Guerra,
"34,503",Tour de France 1979 - Stage19 ,Stage in line,Saint-Priest,166,Didi Thurau,
"34,487",Tour de France 1955 - Stage22 ,Stage in line,Paris,229.0,Miguel Poblet,
"34,480",Tour de France 1978 - Stage 7 RR,Stage in line,Bordeaux,242.0,Freddy Maertens,
"34,448",Tour de France 1959 - Stage4 ,Stage in line,Rouen,230.0,Dino Bruni,
"34,447",Tour de France 1974 - Stage14 ,Stage in line,Colomiers,248.5,Jean-Pierre Genet,
"34,406",Tour de France 1974 - Stage8b ,Stage in line,Besançon,152,Patrick Sercu,
"34,401",Tour de France 2010 - Stage 17 RR,Stage in line,Col du Tourmalet,174.0,Andy Schleck,
"34,398",Tour de France 1959 - Stage20 ,Stage in line,Chalon-sur-Saône,202.0,Brian Robinson,
"34,389",Tour de France 1954 - Stage14 ,Stage in line,Millau,225.0,Ferdi Kübler,
"34,382",Tour de France 1935 - Stage19b ITT,Individual time trial,Nantes,95,Jean Aerts,
"34,379",Tour de France 1978 - Stage 9 RR,Stage in line,Biarritz,231.0,Miguel Maria Lasa,
"34,377",Tour de France 1931 - Stage4 ,Stage in line,Vannes,211,André Godinat,
"34,376",Tour de France 1947 - Stage1 ,Stage in line,Lille,236.0,Ferdi Kübler,
"34,373",Tour de France 1996 - Stage 7 ,Stage in line,Les Arcs,199.0,Luc Leblanc,
"34,349",Tour de France 1933 - Stage10 ,Stage in line,Nice,156,Fernand Cornez,
"34,346",Tour de France 1975 - Stage10 ,Stage in line,Pau,206.0,Felice Gimondi,
"34,344",Tour de France 1994 - Stage 19 ITT,Individual time trial,Avoriaz,47.5,Piotr Ugrumov,
"34,335",Tour de France 1972 - Stage19 ,Stage in line,Versailles,230.0,Joseph Bruyère,
"34,324",Tour de France 2008 - Stage 17 RR,Stage in line,"Alpe d'Huez",210.5,Carlos Sastre,
"34,307",Tour de France 1965 - Stage20 ,Stage in line,Auxerre,298.5,Michaël Wright,
"34,303",Tour de France 1960 - Stage10 ,Stage in line,Pau,228.0,Roger Rivière,
"34,295",Tour de France 1938 - Stage20c ,Stage in line,Lille,107,François Neuville,
"34,292",Tour de France 1976 - Stage4 ,Stage in line,Bornem,258.0,Hennie Kuiper,
"34,286",Tour de France 1966 - Stage4 ,Stage in line,Dieppe,205.0,Willy Planckaert,
"34,269",Tour de France 1986 - Stage21 ,Stage in line,le Puy-de-Dôme,190,Erich Maechler,
"34,264",Tour de France 1954 - Stage20 ,Stage in line,Besançon,243.0,Lucien Teisseire,
"34,257",Tour de France 1933 - Stage22 ,Stage in line,Caen,169.0,René Le Grevès,
"34,256",Tour de France 1950 - Stage2 ,Stage in line,Liège,241.0,Adolfo Leoni,
"34,253",Tour de France 1958 - Stage16 ,Stage in line,Béziers,187.0,Pierino Baffi,
"34,246",Tour de France 1947 - Stage16 ,Stage in line,Bordeaux,195,Joseph Tacca,
"34,245",Tour de France 1991 - Stage18 ,Stage in line,Morzine,255.0,Thierry Claveyrolat,
"34,244",Tour de France 1987 - Stage20 ,Stage in line,"L'Alpe-d'Huez",201.0,Federico Echave,
"34,242",Tour de France 1951 - Stage1 ,Stage in line,Reims,185,Giovanni Rossi,
"34,237",Tour de France 1973 - Stage13 ,Stage in line,Bagnères-de-Luchon,235.0,Luis Ocaña,
"34,219",Tour de France 1956 - Stage3 ,Stage in line,Rouen,225.0,Arrigo Padovan,
"34,217",Tour de France 1969 - Stage21 ,Stage in line,Montargis,329.5,Herman Van Springel,
"34,210",Tour de France 1939 - Stage7 ,Stage in line,Bordeaux,198,Raymond Passat,
"34,210",Tour de France 1972 - Stage10 ,Stage in line,La Grande-Motte,210.0,Willy Teirlinck,
"34,199",Tour de France 2007 - Stage 16 RR,Stage in line,"Col d'Aubisque",218.5,Michael Rasmussen,
"34,177",Tour de France 2007 - Stage 8 RR,Stage in line,Tignes,165,Michael Rasmussen,
"34,142",Tour de France 2012 - Stage 17 RR,Stage in line,Peyragudes,143.5,Alejandro Valverde,
"34,127",Tour de France 1995 - Stage 9 ,Stage in line,La Plagne,160,Alex Zülle,
"34,124",Tour de France 1968 - Stage5a ,Stage in line,"Bagnoles-de-l'Orne",165,André Desvages,
"34,119",Tour de France 1979 - Stage22 ,Stage in line,Auxerre,189,Gerrie Knetemann,
"34,115",Tour de France 1985 - Stage6 ,Stage in line,Reims,221.5,Francis Castaing,
"34,106",Tour de France 1954 - Stage9 ,Stage in line,Bordeaux,343,Henk Faanhof,
"34,093",Tour de France 1976 - Stage21 ,Stage in line,Versailles,145.5,Freddy Maertens,
"34,077",Tour de France 1932 - Stage1 ,Stage in line,Caen,208,Jean Aerts,
"34,071",Tour de France 1977 - Stage11 ,Stage in line,Roubaix,242.5,Jean-Pierre Danguillaume,
"34,062",Tour de France 1949 - Stage 13 RR,Stage in line,Nîmes,289,Emile Idée,
"34,038",Tour de France 1948 - Stage 19 RR,Stage in line,Liège,249.0,Gino Bartali,
"34,038",Tour de France 1984 - Stage15 ,Stage in line,Grenoble,241.5,Frédéric Vichot,
"34,037",Tour de France 1968 - Stage5b ,Stage in line,Dinard,154.5,Jean Dumont,
"34,027",Tour de France 1972 - Stage12 ,Stage in line,Orcieres-Merlette,192.0,Lucien Van Impe,
"34,012",Tour de France 1939 - Stage13a ,Stage in line,Monaco,121.5,Maurice Archambaud,
"33,993",Tour de France 1970 - Stage19 ,Stage in line,Mourenx,185.5,Christian Raymond,
"33,991",Tour de France 1964 - Stage10a ,Stage in line,Hyères,187.5,Jan Janssen,
"33,968",Tour de France 2011 - Stage 19 RR,Stage in line,"Alpe d'Huez",109.5,Pierre Rolland,
"33,959",Tour de France 1980 - Stage14 ,Stage in line,Montpellier,189.5,Ludo Peeters,
"33,940",Tour de France 1961 - Stage8 ,Stage in line,Saint-Etienne,240.5,Jean Forestier,
"33,939",Tour de France 1937 - Stage4 ,Stage in line,Belfort,220.0,Erich Bautz,
"33,936",Tour de France 1958 - Stage24 ,Stage in line,Paris,320.0,Pierino Baffi,
"33,923",Tour de France 1971 - Stage17 ,Stage in line,Bordeaux,188.0,Eddy Merckx,
"33,895",Tour de France 1951 - Stage6 ,Stage in line,Rennes,182.0,Edouard Müller,
"33,873",Tour de France 1937 - Stage19a ,Stage in line,Vire,114,Raymond Passat,
"33,848",Tour de France 1984 - Stage21 ,Stage in line,Villefranche-sur-Saône,320.5,Frank Hoste,
"33,847",Tour de France 1934 - Stage13 ,Stage in line,Montpellier,172.0,Georges Speicher,
"33,837",Tour de France 1980 - Stage17 ,Stage in line,Morzine,242.0,Mariano Martinez,
"33,827",Tour de France 1965 - Stage17 ,Stage in line,Aix-les-Bains,193.5,Julio Jiménez,
"33,820",Tour de France 1964 - Stage8 ,Stage in line,Briançon,248.5,Federico Bahamontes,
"33,819",Tour de France 1984 - Stage20 ,Stage in line,Crans-Montana,140.5,Laurent Fignon,
"33,815",Tour de France 2004 - Stage 13 RR,Stage in line,Plateau de Beille,205.5,Lance Armstrong,
"33,814",Tour de France 2006 - Stage 11 RR,Stage in line,Pla de Beret,206.5,Denis Menchov,
"33,813",Tour de France 1980 - Stage18 ,Stage in line,Prapoutel-les-Sept-Laux,198.8,Ludo Loos,
"33,809",Tour de France 1950 - Stage3 ,Stage in line,Lille,232.5,Alfredo Pasotti,
"33,801",Tour de France 2001 - Stage 13 RR,Stage in line,"Pla d'Adet",194.0,Lance Armstrong,
"33,779",Tour de France 1965 - Stage3 ,Stage in line,Rouen,240.0,Felice Gimondi,
"33,774",Tour de France 1939 - Stage1 ,Stage in line,Caen,215.0,Amédée Fournier,
"33,767",Tour de France 1938 - Stage2 ,Stage in line,Saint-Brieuc,237.0,Jean Majerus,
"33,763",Tour de France 1953 - Stage22 ,Stage in line,Paris,328.0,Fiorenzo Magni,
"33,759",Tour de France 1951 - Stage8 ,Stage in line,Limoges,241.0,André Rosseel,
"33,741",Tour de France 1951 - Stage9 ,Stage in line,Clermont-Ferrand,236.0,Raphaël Geminiani,
"33,718",Tour de France 1998 - Stage 10 RR,Stage in line,Bagnères-de-Luchon,196.5,Rodolfo Massi,
"33,717",Tour de France 1980 - Stage12 ,Stage in line,Pau,194.1,Gerrie Knetemann,
"33,708",Tour de France 1972 - Stage18 ,Stage in line,Auxerre,257.5,Rini Wagtmans,
"33,706",Tour de France 1957 - Stage17 ,Stage in line,Saint-Gaudens,236.0,Nino Defilippis,
"33,698",Tour de France 1977 - Stage4 ,Stage in line,Seignosse,256.0,Régis Delepine,
"33,687",Tour de France 1950 - Stage13 ,Stage in line,Nîmes,215.0,Marcel Molines,
"33,667",Tour de France 1953 - Stage14 ,Stage in line,Nîmes,214.0,Bernard Quennehen,
"33,665",Tour de France 1927 - Stage 8 RR,Stage in line,"Les Sables-d'Olonne",204.0,Raymond Decorte,
"33,656",Tour de France 1955 - Stage4 ,Stage in line,Metz,225.0,Willy Kemp,
"33,631",Tour de France 1974 - Stage9 ,Stage in line,Gaillard,241.0,Eddy Merckx,
"33,620",Tour de France 1969 - Stage13 ,Stage in line,La Grande-Motte,195.5,Guido Reybrouck,
"33,619",Tour de France 1978 - Stage 15 RR,Stage in line,Saint-Etienne,196.0,Bernard Hinault,
"33,605",Tour de France 1997 - Stage 9 RR,Stage in line,Loudenvielle,182.0,Laurent Brochard,
"33,582",Tour de France 1968 - Stage17 ,Stage in line,Saint-Etienne,236.5,Jean-Pierre Genet,
"33,582",Tour de France 1963 - Stage13 ,Stage in line,Aurillac,234,Rik Van Looy,
"33,581",Tour de France 1961 - Stage11 ,Stage in line,Juan-les-Pins,225.0,Guido Carlesi,
"33,580",Tour de France 1929 - Stage19 ,Stage in line,Charleville-Mézières,159,Bernard Van Rysselberghe,
"33,560",Tour de France 1987 - Stage23 ,Stage in line,Dijon,224.5,Régis Clère,
"33,556",Tour de France 1927 - Stage 20 RR,Stage in line,Strasbourg,145,Raymond Decorte,
"33,542",Tour de France 1974 - Stage15 ,Stage in line,"La Seu d'Urgell",225.0,Eddy Merckx,
"33,536",Tour de France 1933 - Stage1 ,Stage in line,Lille,262,Maurice Archambaud,
"33,535",Tour de France 1956 - Stage21 ,Stage in line,Montluçon,237.0,Roger Hassenforder,
"33,509",Tour de France 1969 - Stage14 ,Stage in line,Revel,234.5,Joaquim Agostinho,
"33,487",Tour de France 1968 - Stage11 ,Stage in line,Pau,183.5,Daniël Van Rijckeghem,
"33,485",Tour de France 1909 - Stage10 ,Stage in line,Bordeaux,269.0,François Faber,
"33,467",Tour de France 1938 - Stage6b ,Stage in line,Bayonne,171,Glauco Servadei,
"33,464",Tour de France 1928 - Stage16 ,Stage in line,Belfort,119,André Leducq,
"33,454",Tour de France 1951 - Stage15 ,Stage in line,Carcassonne,213.0,André Rosseel,
"33,453",Tour de France 1939 - Stage16b ITT,Individual time trial,Bourg-Saint-Maurice,64.5,Sylvère Maes,
"33,434",Tour de France 1963 - Stage18 ,Stage in line,Lons-le-Saunier,225.0,Frans Brands,
"33,410",Tour de France 1936 - Stage18a ,Stage in line,Saintes,117,Eloï Meulenberg,
"33,409",Tour de France 1975 - Stage20 ,Stage in line,Melun,256.0,Giacinto Santambrogio,
"33,409",Tour de France 1937 - Stage17b ,Stage in line,Saintes,37,,
"33,400",Tour de France 1973 - Stage19 ,Stage in line,Versailles,233.5,Barry Hoban,
"33,377",Tour de France 1966 - Stage12 ,Stage in line,Revel,218.2,Rudi Altig,
"33,373",Tour de France 1976 - Stage18a ,Stage in line,Langon,86,Freddy Maertens,
"33,346",Tour de France 1952 - Stage 5 RR,Stage in line,Namur,197,Bim Diederich,
"33,342",Tour de France 1967 - Stage16 ,Stage in line,Bagnères-de-Luchon,188.0,Fernando Manzaneque,
"33,340",Tour de France 1974 - Stage7 ,Stage in line,Châlons-sur-Marne,221.5,Eddy Merckx,
"33,338",Tour de France 1975 - Stage21 ,Stage in line,Senlis,220.5,Rik Van Linden,
"33,330",Tour de France 1959 - Stage21b ,Stage in line,Paris,331,Joseph Groussard,
"33,327",Tour de France 1961 - Stage10 ,Stage in line,Turin,250.5,Guy Ignolin,
"33,326",Tour de France 1907 - Stage3 ,Stage in line,Belfort,259.0,Emile Georget,
"33,320",Tour de France 1930 - Stage11 ,Stage in line,Montpellier,164,Charles Pélissier,
"33,308",Tour de France 1949 - Stage 10 RR,Stage in line,Pau,196.0,Fiorenzo Magni,
"33,301",Tour de France 1931 - Stage23 ,Stage in line,Malo-les-Bains,271.0,Gaston Rebry,
"33,294",Tour de France 1994 - Stage 12 ,Stage in line,Luz-Ardiden,204.5,Richard Virenque,
"33,285",Tour de France 2000 - Stage 10 RR,Stage in line,Hautacam,205.0,Javier Otxoa,
"33,277",Tour de France 1955 - Stage9 ,Stage in line,Monaco,275.0,Raphaël Geminiani,
"33,277",Tour de France 1972 - Stage8 ,Stage in line,Bagnères-de-Luchon,163.5,Eddy Merckx,
"33,270",Tour de France 1928 - Stage2 ,Stage in line,Cherbourg,140,André Leducq,
"33,259",Tour de France 1947 - Stage12 ,Stage in line,Montpellier,165,Henri Massal,
"33,249",Tour de France 1972 - Stage14a ,Stage in line,Valloire,51,Eddy Merckx,
"33,240",Tour de France 1985 - Stage15 ,Stage in line,Aurillac,237.5,Eduardo Chozas,
"33,239",Tour de France 1956 - Stage12 ,Stage in line,Bagnères-de-Luchon,130,Jempy Schmitz,
"33,215",Tour de France 1977 - Stage1 ,Stage in line,Auch,237.5,Raymond Villemiane,
"33,205",Tour de France 2002 - Stage 12 RR,Stage in line,Plateau de Beille,199.5,Lance Armstrong,
"33,205",Tour de France 1982 - Stage13 ,Stage in line,"Pla d'Adet",122,Beat Breu,
"33,202",Tour de France 1965 - Stage9 ,Stage in line,Bagnères-de-Bigorre,226.5,Julio Jiménez,
"33,201",Tour de France 1955 - Stage15 ,Stage in line,Ax-les-Thermes,151,Luciano Pezzi,
"33,195",Tour de France 1975 - Stage12 ,Stage in line,Albi,242.0,Gerrie Knetemann,
"33,191",Tour de France 1975 - Stage19 ,Stage in line,Chalon-sur-Saône,229.0,Rik Van Linden,
"33,176",Tour de France 1966 - Stage13 ,Stage in line,Sète,191.5,Georges Van den Berghe,
"33,174",Tour de France 1964 - Stage20 ,Stage in line,le Puy-de-Dôme,237.5,Julio Jiménez,
"33,171",Tour de France 1981 - Stage5 ,Stage in line,"Pla d'Adet",117.5,Lucien Van Impe,
"33,148",Tour de France 1960 - Stage18 ,Stage in line,Thonon-les-Bains,215.0,Fernando Manzaneque,
"33,147",Tour de France 1982 - Stage17 ,Stage in line,Morzine,251.0,Peter Winnen,
"33,146",Tour de France 1953 - Stage21 ,Stage in line,Montluçon,210.0,Wout Wagtmans,
"33,142",Tour de France 1976 - Stage10 ,Stage in line,Col de Montgenèvre,167.0,Joop Zoetemelk,
"33,136",Tour de France 1928 - Stage8 ,Stage in line,Bayonne,225.0,Maurice Dewaele,
"33,122",Tour de France 1978 - Stage 10 RR,Stage in line,Pau,191.5,Henk Lubberding,
"33,117",Tour de France 1948 - Stage 11 RR,Stage in line,Sanremo,245.0,Gino Sciardis,
"33,111",Tour de France 1971 - Stage11 ,Stage in line,Orcieres-Merlette,134,Luis Ocaña,
"33,105",Tour de France 1964 - Stage15 ,Stage in line,Bagnères-de-Luchon,203.0,Raymond Poulidor,
"33,100",Tour de France 1967 - Stage12 ,Stage in line,Marseille,207.5,Raymond Riotte,
"33,100",Tour de France 1969 - Stage11 ,Stage in line,Digne-les-Bains,198,Eddy Merckx,
"33,098",Tour de France 1989 - Stage15 ITT,Individual time trial,Orcieres-Merlette,39.0,Steven Rooks,
"33,088",Tour de France 1955 - Stage17 ,Stage in line,Saint-Gaudens,249.0,Charly Gaul,
"33,087",Tour de France 1937 - Stage6 ,Stage in line,Aix-les-Bains,180,Gustaaf Deloor,
