Speed,Stage,Event,Finish,Distance,Winner, 
"44,424",Tour de France 2000 - Stage 6 RR,Stage in line,Tours,198.5,Leon van Bon,
"44,423",Tour de France 1987 - Stage10 ITT,Individual time trial,Futuroscope,87.5,Stephen Roche,
"44,404",Tour de France 2012 - Stage 6 RR,Stage in line,Metz,205.0,Peter Sagan,
"44,395",Tour de France 1964 - Stage22b ITT,Individual time trial,Paris,27.5,Jacques Anquetil,
"44,370",Tour de France 1982 - Stage11 ITT,Individual time trial,"Valence-d'Agen",57.299,Gerrie Knetemann,
"44,355",Tour de France 2011 - Stage 15 RR,Stage in line,Montpellier,192.5,Mark Cavendish,
"44,312",Tour de France 1982 - Stage9b ,Stage in line,Nantes,138.5,Stefan Mutter,
"44,280",Tour de France 2006 - Stage 1 RR,Stage in line,Strasbourg,184.5,Jimmy Casper,
"44,271",Tour de France 2007 - Stage 2 RR,Stage in line,Ghent,168.5,Gert Steegmans,
"44,267",Tour de France 1987 - Stage5 ,Stage in line,Strasbourg,112.5,Marc Sergeant,
"44,250",Tour de France 1971 - Stage16b ,Stage in line,Pau,57.5,Herman Van Springel,
"44,201",Tour de France 1958 - Stage23 ITT,Individual time trial,Dijon,74.0,Charly Gaul,
"44,156",Tour de France 1981 - Stage12a ,Stage in line,Brussels,107.3,Freddy Maertens,
"44,148",Tour de France 1980 - Stage11 ITT,Individual time trial,Laplume,51.8,Joop Zoetemelk,
"44,139",Tour de France 2010 - Stage 13 RR,Stage in line,Revel,196.0,Alexandr Vinokurov,
"44,137",Tour de France 1994 - Stage 10 ,Stage in line,Cahors,160.5,Jacky Durand,
"44,125",Tour de France 2010 - Stage 3 RR,Stage in line,Arenberg,213.0,Thor Hushovd,
"44,105",Tour de France 1993 - Stage 1 ,Stage in line,"Les Sables-d'Olonne",215.0,Mario Cipollini,
"44,105",Tour de France 1995 - Stage 4 ,Stage in line,Le Havre,162,Mario Cipollini,
"44,097",Tour de France 2001 - Stage 15 RR,Stage in line,Lavaur,232.5,Rik Verbrugghe,
"44,078",Tour de France 1988 - Stage21 ITT,Individual time trial,Santenay,46,Juan Martínez Oliver,
"44,075",Tour de France 1976 - Stage17 ITT,Individual time trial,Auch,38.7,Ferdinand Bracke,
"44,049",Tour de France 1960 - Stage6 ,Stage in line,Lorient,191,Roger Rivière,
"43,951",Tour de France 2003 - Stage 11 RR,Stage in line,Toulouse,153.5,Juan Antonio Flecha,
"43,877",Tour de France 1972 - Stage4 ,Stage in line,Royan,236.0,Cyrille Guimard,
"43,850",Tour de France 1988 - Stage3 ,Stage in line,Le Mans,213.5,Jean-Paul van Poppel,
"43,838",Tour de France 1975 - Stage1b ,Stage in line,Roubaix,108.5,Rik Van Linden,
"43,838",Tour de France 1995 - Stage 18 ,Stage in line,Limoges,166.5,Lance Armstrong,
